"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.642646,-0.0057249384,0,-32.825656,-2.4067949e-06,0
0.5,0,26.621473,-0.0056353445,0,-32.816428,-2.4929297e-06,0
0.5,0,26.596593,-0.0055674594,0,-32.807199,-2.5888701e-06,0
0.5,0,26.568896,-0.0055192293,0,-32.797971,-2.6935135e-06,0
0.5,0,26.539643,-0.0054923602,0,-32.788743,-2.8060126e-06,0
0.5,0,26.510371,-0.0054914574,0,-32.779514,-2.9268923e-06,0
0.5,0,26.48266,-0.0055121033,0,-32.770286,-3.0576774e-06,0
0.5,0,26.457849,-0.005540932,0,-32.761057,-3.1989181e-06,0
0.5,0,26.436865,-0.0055711444,0,-32.751829,-3.3496163e-06,0
0.5,0,26.42011,-0.0056095311,0,-32.7426,-3.5086283e-06,0
0.5,0,26.407455,-0.0056640685,0,-32.733372,-3.6753022e-06,0
0.5,0,26.39829,-0.0057321809,0,-32.724143,-3.8492995e-06,0
0.5,0,26.39175,-0.0058075114,0,-32.714915,-4.030274e-06,0
0.5,0,26.386866,-0.0058881099,0,-32.705686,-4.2175827e-06,0
0.5,0,26.382606,-0.0059721929,0,-32.696458,-4.4105816e-06,0
0.5,0,26.37803,-0.0060547943,0,-32.687229,-4.6090438e-06,0
0.5,0,26.372471,-0.0061307175,0,-32.678001,-4.8131711e-06,0
0.5,0,26.365562,-0.0061966238,0,-32.668772,-5.0232699e-06,0
0.5,0,26.357154,-0.0062508395,0,-32.659544,-5.2395274e-06,0
0.5,0,26.347264,-0.0062919683,0,-32.650316,-5.4619622e-06,0
0.5,0,26.336043,-0.006319707,0,-32.641087,-5.6901711e-06,0
0.5,0,26.323735,-0.0063358179,0,-32.631859,-5.9229547e-06,0
0.5,0,26.310612,-0.0063423604,0,-32.62263,-6.1582597e-06,0
0.5,0,26.296947,-0.0063405127,0,-32.613402,-6.3934808e-06,0
0.5,0,26.282993,-0.0063310725,0,-32.604173,-6.6258759e-06,0
0.5,0,26.268959,-0.0063143993,0,-32.594945,-6.8528764e-06,0
0.5,0,26.255017,-0.006289926,0,-32.585716,-7.0722633e-06,0
0.5,0,26.241341,-0.0062570892,0,-32.576488,-7.2822939e-06,0
0.5,0,26.228138,-0.0062166442,0,-32.567259,-7.4817034e-06,0
0.5,0,26.21566,-0.006170403,0,-32.558031,-7.669415e-06,0
0.5,0,26.204213,-0.0061206853,0,-32.548802,-7.8441216e-06,0
0.5,0,26.194126,-0.0060702139,0,-32.539574,-8.0042873e-06,0
0.5,0,26.185723,-0.0060218577,0,-32.530345,-8.1486711e-06,0
0.5,0,26.179265,-0.005977697,0,-32.521117,-8.2766869e-06,0
0.5,0,26.174903,-0.0059344764,0,-32.511889,-8.3878936e-06,0
0.5,0,26.172677,-0.0058852223,0,-32.50266,-8.4814076e-06,0
0.5,0,26.172455,-0.0058306643,0,-32.493432,-8.5561967e-06,0
0.5,0,26.17406,-0.0057774358,0,-32.484203,-8.6116427e-06,0
0.5,0,26.177245,-0.0057263614,0,-32.474975,-8.6478965e-06,0
0.5,0,26.181733,-0.0056728407,0,-32.465746,-8.6656402e-06,0
0.5,0,26.187331,-0.0056134526,0,-32.456518,-8.6651184e-06,0
0.5,0,26.19383,-0.0055456936,0,-32.447289,-8.6458592e-06,0
0.5,0,26.201027,-0.0054645743,0,-32.438061,-8.6076122e-06,0
0.5,0,26.208733,-0.0053649596,0,-32.428832,-8.5507659e-06,0
0.5,0,26.216792,-0.0052446773,0,-32.419604,-8.4759046e-06,0
0.5,0,26.225088,-0.0051057111,0,-32.410375,-8.3834195e-06,0
0.5,0,26.233519,-0.0049527286,0,-32.401147,-8.2735654e-06,0
0.5,0,26.241974,-0.0047958729,0,-32.391918,-8.147247e-06,0
0.5,0,26.250359,-0.0046484919,0,-32.38269,-8.0061112e-06,0
0.5,0,26.258648,-0.0045134008,0,-32.373462,-7.8520958e-06,0
0.5,0,26.266825,-0.0043870707,0,-32.364233,-7.6870413e-06,0
0.5,0,26.274837,-0.0042720191,0,-32.355005,-7.512567e-06,0
0.5,0,26.282602,-0.0041744419,0,-32.345776,-7.3302686e-06,0
0.5,0,26.290048,-0.0040972384,0,-32.336548,-7.1413509e-06,0
0.5,0,26.297097,-0.0040379594,0,-32.327319,-6.9468955e-06,0
0.5,0,26.303662,-0.0039909129,0,-32.318091,-6.7484562e-06,0
0.5,0,26.309679,-0.0039506507,0,-32.308862,-6.5480504e-06,0
0.5,0,26.315093,-0.0039113937,0,-32.299634,-6.3473502e-06,0
0.5,0,26.319855,-0.0038668239,0,-32.290405,-6.1480428e-06,0
0.5,0,26.323912,-0.0038202237,0,-32.281177,-5.9511655e-06,0
0.5,0,26.327312,-0.0037674774,0,-32.271948,-5.7566679e-06,0
